Date,Open,High,Low,Close,Adj Close,Volume
2023-11-23,25.400000,25.740000,25.400000,25.510000,24.640974,8247600
2023-11-24,25.535000,25.639999,25.350000,25.480000,24.611996,8815000
2023-11-27,25.575001,25.990000,25.535000,25.950001,25.065987,22614400
2023-11-28,25.985001,26.400000,25.980000,26.325001,25.428213,19633200
2023-11-29,26.385000,26.525000,26.180000,26.365000,25.466846,21020000
2023-11-30,26.365000,27.190001,26.365000,27.135000,26.210617,35416400
2023-12-01,27.174999,27.400000,26.940001,27.190001,26.263744,18946400
2023-12-04,27.150000,27.405001,26.980000,27.084999,26.162321,13915800
2023-12-05,27.080000,27.270000,27.004999,27.084999,26.162321,11725800
2023-12-06,27.190001,27.240000,26.450001,26.504999,25.602079,17640200
2023-12-07,26.500000,26.945000,26.500000,26.934999,26.017429,11561400
2023-12-08,26.950001,27.299999,26.830000,27.225000,26.297550,20784200
2023-12-11,27.225000,27.355000,27.035000,27.219999,26.292721,11474000
2023-12-12,26.900000,26.900000,26.205000,26.250000,25.678688,25063600
2023-12-13,26.235001,26.629999,25.820000,26.490000,25.913464,36160000
2023-12-14,26.750000,26.780001,26.200001,26.665001,26.084658,36873200
2023-12-15,26.625000,27.305000,26.410000,27.305000,26.710728,36441400
2023-12-18,27.334999,27.514999,27.084999,27.325001,26.730293,15518200
2023-12-19,27.285000,27.459999,27.150000,27.424999,26.828115,15467000
2023-12-20,27.424999,27.500000,27.030001,27.105000,26.515079,15653800
2023-12-21,27.400000,27.400000,26.945000,27.145000,26.554211,20008000
2023-12-22,27.250000,27.309999,27.035000,27.219999,26.627575,14606400
2023-12-26,27.219999,27.480000,27.150000,27.469999,26.872135,7966400
2023-12-27,27.400000,27.485001,27.290001,27.430000,26.833008,6745000
2023-12-28,27.430000,27.695000,27.344999,27.695000,27.092239,11680800
2024-01-02,27.559999,27.639999,27.225000,27.379999,26.784094,16341000
2024-01-03,27.340000,27.535000,27.250000,27.405001,26.808552,16296800
2024-01-04,27.375000,27.450001,27.059999,27.115000,26.524860,16199800
2024-01-05,27.090000,27.565001,27.000000,27.440001,26.842789,16455800
2024-01-08,27.525000,27.740000,27.389999,27.674999,27.072674,18107600
2024-01-09,27.545000,27.575001,27.139999,27.260000,26.666706,15367600
2024-01-10,27.084999,27.334999,27.084999,27.215000,26.622686,9878600
2024-01-11,27.200001,27.424999,27.110001,27.400000,26.803658,13486200
2024-01-12,27.400000,27.600000,27.155001,27.559999,26.960176,10126600
2024-01-15,27.549999,28.100000,27.500000,28.100000,27.488424,16827600
2024-01-16,27.980000,28.235001,27.885000,27.940001,27.331907,17944400
2024-01-17,27.905001,28.049999,27.815001,27.995001,27.385710,19366200
2024-01-18,28.025000,28.055000,27.629999,27.670000,27.067783,14648800
2024-01-19,27.764999,28.174999,27.639999,27.959999,27.351471,25325000
2024-01-22,28.035000,28.065001,27.680000,27.775000,27.170496,13091400
2024-01-23,27.905001,28.295000,27.775000,28.270000,27.654726,20134400
2024-01-24,28.340000,28.520000,28.219999,28.325001,27.708527,13342600
2024-01-25,28.375000,28.500000,28.264999,28.290001,27.674290,12011200
2024-01-26,28.320000,28.495001,28.275000,28.485001,27.865046,16392200
2024-01-29,28.480000,28.514999,28.030001,28.260000,27.644941,11264600
2024-01-30,28.245001,28.250000,27.975000,28.115000,27.503098,11859800
2024-01-31,28.200001,28.420000,28.059999,28.225000,27.610704,13112000
2024-02-01,28.225000,28.870001,28.150000,28.870001,28.241667,22648600
2024-02-02,28.850000,28.934999,28.570000,28.860001,28.231884,14969000
2024-02-05,28.865000,29.170000,28.674999,29.170000,28.535137,15148800
2024-02-06,29.209999,29.865000,29.200001,29.799999,29.151424,16578000
2024-02-07,29.785000,29.900000,29.334999,29.719999,29.073166,16353000
2024-02-08,29.730000,29.865000,29.129999,29.270000,28.632959,21199200
2024-02-09,29.250000,29.290001,27.650000,28.785000,28.158516,48132000
2024-02-14,28.680000,29.190001,28.540001,29.174999,28.540028,17196600
2024-02-15,29.174999,29.295000,29.004999,29.180000,28.544920,16017200
2024-02-16,29.290001,29.400000,28.705000,28.934999,28.305250,19018800
2024-02-19,28.959999,29.525000,28.799999,29.459999,28.818825,18263600
2024-02-20,29.430000,29.955000,29.370001,29.650000,29.004688,36826400
2024-02-21,29.660000,29.795000,29.530001,29.719999,29.073166,45832200
2024-02-22,29.344999,29.379999,28.959999,29.049999,28.633730,19798400
2024-02-23,29.065001,29.129999,28.570000,28.690001,28.278889,20556200
2024-02-26,28.705000,29.094999,28.625000,28.965000,28.549948,13441800
2024-02-27,29.094999,29.375000,29.000000,29.315001,28.894934,13960200
2024-02-28,29.290001,29.570000,29.205000,29.375000,28.954073,12335000
2024-02-29,29.375000,29.459999,28.850000,28.930000,28.515450,20423600
2024-03-01,28.975000,29.180000,28.915001,28.959999,28.545019,10255800
2024-03-04,29.010000,29.105000,28.735001,28.840000,28.426739,12990200
2024-03-05,28.900000,29.184999,28.844999,29.040001,28.623875,9412000
2024-03-06,29.110001,29.504999,29.049999,29.469999,29.047710,12482600
2024-03-07,29.469999,29.555000,29.125000,29.190001,28.771725,14857800
2024-03-08,28.504999,29.084999,28.014999,28.905001,28.490808,40005000
2024-03-11,28.850000,28.850000,28.450001,28.615000,28.204964,25163800
2024-03-12,28.504999,29.055000,28.315001,28.799999,28.799999,22722000
2024-03-13,28.754999,28.870001,28.440001,28.480000,28.480000,20799400
2024-03-14,28.475000,28.674999,28.295000,28.355000,28.355000,20707800
2024-03-15,28.410000,28.760000,28.385000,28.645000,28.645000,28391400
2024-03-18,28.650000,28.889999,27.910000,28.014999,28.014999,22635600
2024-03-19,28.120001,28.215000,27.565001,27.915001,27.915001,20241800
2024-03-20,27.915001,28.250000,27.705000,28.215000,28.215000,17687400
2024-03-21,28.299999,28.500000,27.730000,27.820000,27.820000,17742000
